Sample_ID,pcr_replicate,biological_replicate,extraction_ID,extraction_replicate,run,collection_year,collection_month,collection_day,location1,longitude,latitude,sample_type,time_of_day,extraction_date,plate_or_vial,extraction_plate,extraction_well,dna_conc,pcr_conc
e02042_A,A,e02042,e02042,1,B,2021,7,14,81,-161.729,55.1395,sample,19:26,2022_02_23,plate,2_2022,C09,2.671,18.812
e02043_A,A,e02043,e02043,1,B,2021,7,14,81,-161.729,55.1395,sample,19:26,2022_02_23,plate,2_2022,D09,8.766,20.395
e02044_A,A,e02044,e02044,1,B,2021,7,14,81,-161.729,55.1395,sample,19:26,2022_02_23,plate,2_2022,E09,10.796,16.557
e02045_A,A,e02045,e02045,1,B,2021,7,15,82,-161.7962,55.1281,sample,9:07,2022_02_23,plate,2_2022,F09,9.301,19.09
e02046_A,A,e02046,e02046,1,B,2021,7,15,82,-161.7962,55.1281,sample,9:07,2022_02_23,plate,2_2022,G09,7.433,20.163
e02047_A,A,e02047,e02047,1,B,2021,7,15,82,-161.7962,55.1281,sample,9:07,2022_02_23,plate,2_2022,H09,7.245,19.365
e02048_A,A,e02048,e02048,1,B,2021,7,15,83,-162.111,55.1484,sample,13:52,2022_02_23,plate,2_2022,A10,4.541,23.368
e02049_A,A,e02049,e02049,1,B,2021,7,15,83,-162.111,55.1484,sample,13:52,2022_02_23,plate,2_2022,B10,5.825,24.366
e02050_A,A,e02050,e02050,1,B,2021,7,15,83,-162.111,55.1484,sample,13:52,2022_02_23,plate,2_2022,C10,4.615,20.595
e02051_A,A,e02051,e02051,1,B,2021,7,15,84,-162.093,55.16,sample,14:49,2022_02_23,plate,2_2022,D10,11.564,23.514
e02052_A,A,e02052,e02052,1,B,2021,7,15,84,-162.093,55.16,sample,14:49,2022_02_23,plate,2_2022,E10,16.376,22.714
e02053_A,A,e02053,e02053,1,B,2021,7,15,84,-162.093,55.16,sample,14:49,2022_02_23,plate,2_2022,F10,10.99,22.795
e02054_A,A,e02054,e02054,1,B,2021,7,16,85,-161.286,55.585,sample,7:30,2022_02_23,plate,2_2022,G10,6.405,21.807
e02055_A,A,e02055,e02055,1,B,2021,7,16,85,-161.286,55.585,sample,7:30,2022_02_23,plate,2_2022,H10,2.738,22.418
e02056_A,A,e02056,e02056,1,B,2021,7,16,85,-161.286,55.585,sample,7:30,2022_02_23,plate,2_2022,A11,2.727,22.767
e02057_A,A,e02057,e02057,1,B,2021,7,17,86,-160.607,55.3438,sample,8:46,2022_02_23,plate,2_2022,B11,6.002,24.589
e02058_A,A,e02058,e02058,1,B,2021,7,17,86,-160.607,55.3438,sample,8:46,2022_02_23,plate,2_2022,C11,10.98,23.618
e02059_A,A,e02059,e02059,1,B,2021,7,17,86,-160.607,55.3438,sample,8:46,2022_02_23,plate,2_2022,D11,9.142,22.045
e02060_A,A,e02060,e02060,1,B,2021,7,17,87,-160.615,55.3316,sample,9:43,2022_02_23,plate,2_2022,E11,14.062,25.842
e02061_A,A,e02061,e02061,1,B,2021,7,17,87,-160.615,55.3316,sample,9:43,2022_02_23,plate,2_2022,F11,21.471,23.86
e02062_A,A,e02062,e02062,1,B,2021,7,17,87,-160.615,55.3316,sample,9:43,2022_02_23,plate,2_2022,G11,18.618,21.408
