sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
e00434-A	e00434-A	1	e00434-A_S63_L001_R1_001.fastq.gz	e00434-A_S63_L001_R2_001.fastq.gz	56868	56868	55532	55532	54745	54745	50354	48000	48000
e00434-B	e00434-B	1	e00434-B_S159_L001_R1_001.fastq.gz	e00434-B_S159_L001_R2_001.fastq.gz	42337	42337	41211	41211	40476	40476	34733	33440	33438
e00434-C	e00434-C	1	e00434-C_S255_L001_R1_001.fastq.gz	e00434-C_S255_L001_R2_001.fastq.gz	31665	31665	30781	30781	30263	30263	25442	24609	24609
e00435-A	e00435-A	1	e00435-A_S64_L001_R1_001.fastq.gz	e00435-A_S64_L001_R2_001.fastq.gz	1064	1064	1039	1039	971	971	528	523	523
e00435-B	e00435-B	1	e00435-B_S160_L001_R1_001.fastq.gz	e00435-B_S160_L001_R2_001.fastq.gz	33200	33200	32754	32754	32361	32361	27416	26940	26936
e00435-C	e00435-C	1	e00435-C_S256_L001_R1_001.fastq.gz	e00435-C_S256_L001_R2_001.fastq.gz	31673	31673	31236	31236	30641	30641	25680	25137	25137
e00468-A	e00468-A	1	e00468-A_S65_L001_R1_001.fastq.gz	e00468-A_S65_L001_R2_001.fastq.gz	33304	33304	32855	32855	32282	32282	27734	27041	27019
e00468-B	e00468-B	1	e00468-B_S161_L001_R1_001.fastq.gz	e00468-B_S161_L001_R2_001.fastq.gz	35283	35283	34864	34864	34265	34265	29906	29620	29620
e00468-C	e00468-C	1	e00468-C_S257_L001_R1_001.fastq.gz	e00468-C_S257_L001_R2_001.fastq.gz	35796	35796	35387	35387	33878	33878	25617	25324	25324
e00469-A	e00469-A	1	e00469-A_S66_L001_R1_001.fastq.gz	e00469-A_S66_L001_R2_001.fastq.gz	19793	19793	19490	19490	19176	19176	16897	16409	16409
e00469-B	e00469-B	1	e00469-B_S162_L001_R1_001.fastq.gz	e00469-B_S162_L001_R2_001.fastq.gz	31674	31674	31296	31296	30661	30661	22834	22399	22399
e00469-C	e00469-C	1	e00469-C_S258_L001_R1_001.fastq.gz	e00469-C_S258_L001_R2_001.fastq.gz	31739	31739	31292	31292	29971	29971	19808	19431	19424
e00470-A	e00470-A	1	e00470-A_S67_L001_R1_001.fastq.gz	e00470-A_S67_L001_R2_001.fastq.gz	21961	21961	21681	21681	21305	21305	18013	17724	17724
e00470-B	e00470-B	1	e00470-B_S163_L001_R1_001.fastq.gz	e00470-B_S163_L001_R2_001.fastq.gz	34479	34479	34027	34027	33390	33390	25959	25625	25625
e00470-C	e00470-C	1	e00470-C_S259_L001_R1_001.fastq.gz	e00470-C_S259_L001_R2_001.fastq.gz	33508	33508	33140	33140	32326	32326	21134	20966	20966
e00471-A	e00471-A	1	e00471-A_S68_L001_R1_001.fastq.gz	e00471-A_S68_L001_R2_001.fastq.gz	26384	26384	26059	26059	25737	25737	23453	23027	23027
e00471-B	e00471-B	1	e00471-B_S164_L001_R1_001.fastq.gz	e00471-B_S164_L001_R2_001.fastq.gz	34052	34052	33625	33625	33157	33157	29867	29485	29485
e00471-C	e00471-C	1	e00471-C_S260_L001_R1_001.fastq.gz	e00471-C_S260_L001_R2_001.fastq.gz	24430	24430	24153	24153	23818	23818	21763	21368	21368
e00472-A	e00472-A	1	e00472-A_S69_L001_R1_001.fastq.gz	e00472-A_S69_L001_R2_001.fastq.gz	25249	25249	24826	24826	24328	24328	21180	20826	20826
e00472-B	e00472-B	1	e00472-B_S165_L001_R1_001.fastq.gz	e00472-B_S165_L001_R2_001.fastq.gz	36071	36071	35161	35161	34278	34278	27866	27378	27378
e00472-C	e00472-C	1	e00472-C_S261_L001_R1_001.fastq.gz	e00472-C_S261_L001_R2_001.fastq.gz	25590	25590	25077	25077	24651	24651	21281	20941	20941
e00473-A	e00473-A	1	e00473-A_S70_L001_R1_001.fastq.gz	e00473-A_S70_L001_R2_001.fastq.gz	33573	33573	33116	33116	32692	32692	30360	29713	29713
